fri_ship_time,fri_ship_id,fri_ship_x,fri_ship_y
0,1,50.138888888888886,50.0
2,1,50.27777777777777,50.0
4,1,50.41666666666666,50.0
6,1,50.55555555555554,50.0
8,1,50.69444444444443,50.0
10,1,50.833333333333314,50.0
12,1,50.9722222222222,50.0
14,1,51.111111111111086,50.0
16,1,51.24999999999997,50.0
18,1,51.38888888888886,50.0
20,1,51.52777777777774,50.0
22,1,51.66666666666663,50.0
24,1,51.805555555555515,50.0
26,1,51.9444444444444,50.0
28,1,52.083333333333286,50.0
30,1,52.22222222222217,50.0
32,1,52.36111111111106,50.0
34,1,52.49999999999994,50.0
36,1,52.63888888888883,50.0
38,1,52.777777777777715,50.0
40,1,52.9166666666666,50.0
42,1,53.055555555555486,50.0
44,1,53.19444444444437,50.0
46,1,53.33333333333326,50.0
48,1,53.47222222222214,50.0
50,1,53.61111111111103,50.0
52,1,53.749999999999915,50.0
54,1,53.8888888888888,50.0
56,1,54.027777777777686,50.0
58,1,54.16666666666657,50.0
60,1,54.30555555555546,50.0
62,1,54.44444444444434,50.0
64,1,54.58333333333323,50.0
66,1,54.722222222222115,50.0
68,1,54.861111111111,50.0
70,1,54.999999999999886,50.0
72,1,55.13888888888877,50.0
74,1,55.27777777777766,50.0
76,1,55.41666666666654,50.0
78,1,55.55555555555543,50.0
80,1,55.694444444444315,50.0
82,1,55.8333333333332,50.0
84,1,55.972222222222086,50.0
86,1,56.11111111111097,50.0
88,1,56.24999999999986,50.0
90,1,56.388888888888744,50.0
92,1,56.52777777777763,50.0
94,1,56.666666666666515,50.0
96,1,56.8055555555554,50.0
98,1,56.94444444444429,50.0
100,1,57.08333333333317,50.0
102,1,57.22222222222206,50.0
104,1,57.361111111110944,50.0
106,1,57.49999999999983,50.0
108,1,57.638888888888715,50.0
110,1,57.7777777777776,50.0
112,1,57.91666666666649,50.0
114,1,58.05555555555537,50.0
116,1,58.19444444444426,50.0
118,1,58.333333333333144,50.0
120,1,58.47222222222203,50.0
122,1,58.611111111110915,50.0
124,1,58.7499999999998,50.0
126,1,58.88888888888869,50.0
128,1,59.02777777777757,50.0
130,1,59.16666666666646,50.0
132,1,59.305555555555344,50.0
134,1,59.44444444444423,50.0
136,1,59.583333333333115,50.0
138,1,59.722222222222,50.0
140,1,59.86111111111089,50.0
142,1,59.99999999999977,50.0
144,1,60.13888888888866,50.0
146,1,60.277777777777544,50.0
148,1,60.41666666666643,50.0
150,1,60.555555555555316,50.0
152,1,60.6944444444442,50.0
